Tên,Trạng thái
Kiến thức nền tảng,Chưa học
Cú pháp SQL cơ bản,Chưa học
DDL — Định nghĩa dữ liệu,Chưa học
DML — Thao tác dữ liệu,Chưa học
Truy vấn tổng hợp (Aggregate),Chưa học
Ràng buộc dữ liệu (Constraints),Chưa học
Subqueries — Truy vấn con,Chưa học
JOIN — Kết hợp bảng,Chưa học
Hàm nâng cao (Functions),Chưa học
Views — Khung nhìn,Chưa học
Indexes — Chỉ mục,Chưa học
Toàn vẹn & Bảo mật dữ liệu,Chưa học
Transactions — Giao dịch,Chưa học
Stored Procedures & Functions,Chưa học
Tối ưu hiệu năng,Chưa học
SQL nâng cao (Window Functions),Chưa học
