Tên,Trạng thái
📂 1. Nền tảng SEO,
   ↳ SEO là gì?,Chưa học
   ↳ Google hoạt động thế nào,Chưa học
   ↳ Nghiên cứu từ khóa cho developer,Chưa học
   ↳ HTML SEO cơ bản,Chưa học
   ↳ Công cụ SEO thiết yếu,Chưa học
📂 2. SEO On-Page,
   ↳ Meta Tags nâng cao,Chưa học
   ↳ Structured Data và Schema.org,Chưa học
   ↳ URL và cấu trúc trang,Chưa học
   ↳ Hình ảnh và media SEO,Chưa học
   ↳ Content SEO,Chưa học
📂 3. SEO Kỹ thuật,
   ↳ Core Web Vitals,Chưa học
   ↳ Tốc độ trang,Chưa học
   ↳ Mobile SEO,Chưa học
   ↳ JavaScript SEO,Chưa học
   ↳ Crawl và Index,Chưa học
📂 4. SEO cho Landing Page,
   ↳ Landing Page chuẩn SEO,Chưa học
   ↳ Landing Page với Next.js,Chưa học
   ↳ SEO cho React SPA,Chưa học
   ↳ Hiệu suất Landing Page,Chưa học
   ↳ A/B Testing và đo lường SEO,Chưa học
📂 5. SEO Nâng cao,
   ↳ International SEO,Chưa học
   ↳ E-commerce SEO,Chưa học
   ↳ Local SEO,Chưa học
   ↳ Tự động hóa SEO,Chưa học
   ↳ Chiến lược SEO tổng thể,Chưa học
